"Wavelength","ATTO 647N EM","ATTO 647N AB"
509,,0.0117965368025974
510,,0.012233766251948
511,,0.0126277056277056
512,,0.013
513,,0.0133722943722944
514,,0.0138571428571428
515,,0.014142857051948
516,,0.0146277055974026
517,,0.0150000001385281
518,,0.0152813858354978
519,,0.0158268405151515
520,,0.0162813858658008
521,,0.0169090911038961
522,,0.0175974024025974
523,,0.0182813846969697
524,,0.0191385274502164
525,,0.0199696964155844
526,,0.0209090907705627
527,,0.0219999999393939
528,,0.023000000060606
529,,0.0239090912294372
530,,0.0249696974025974
531,,0.0260476191255411
532,,0.0273419915497835
533,,0.0287662338354978
534,,0.0301428576536796
535,,0.0315367969220779
536,,0.0330606061861471
537,,0.0344502166623376
538,,0.0360606063160173
539,,0.0375367963116883
540,,0.039142857012987
541,,0.0408571428225108
542,,0.0423722946103895
543,,0.0439999995974025
544,,0.045718614034632
545,,0.0471731594761904
546,,0.0487186139999999
547,,0.0499999991601731
548,,0.051372294116883
549,,0.0527662341385281
550,,0.0542034637662337
551,,0.0557056281601731
552,,0.0572943726406926
553,,0.0587056280346319
554,,0.0602034626103895
555,,0.0616753242034631
556,,0.0633419907619047
557,,0.0649567096103895
558,,0.0669393942943722
559,,0.0690476191515151
560,,0.0712813854675324
561,,0.0735064941558441
562,,0.0757878789523808
563,,0.0783896109177488
564,,0.0811558439004328
565,,0.0840389605108224
566,,0.0874328998658007
567,,0.0912683971731601
568,,0.0954372286536795
569,,0.0998961034155843
570,,0.104666666376623
571,,0.109926407047619
572,,0.11529870138961
573,,0.120805194805195
574,,0.126865800865801
575,,0.13334632034632
576,,0.140268398268398
577,,0.147523808614718
578,,0.155160172857143
579,,0.162956713160173
580,,0.170939397359307
581,,0.179047622251082
582,,0.187372296926407
583,,0.195718616190476
584,,0.203982683939394
585,,0.212012985021645
586,,0.219792207186147
587,,0.227194805497835
588,,0.234225106536796
589,,0.240683981255411
590,,0.246774889523809
591,,0.252346314805194
592,,0.257268392251082
593,,0.261432896320346
594,,0.26512986987013
595,,0.268004332164502
596,,0.270099573722943
597,,0.271480528701298
598,,0.272519487705627
599,,0.272991346320346
600,0.000999999999999999,0.273025976190476
601,0.000999999999999999,0.272640696190476
602,0.000999999999999999,0.272073594891775
603,0.000999999999999999,0.271030305714285
604,0.000999999999999999,0.26996970025974
605,0.000909090899999999,0.268926412857142
606,0.000969696966666665,0.268177493593073
607,0.00113852815238095,0.267822516190476
608,0.00137229440952381,0.268073595194805
609,0.00153679660865801,0.269121214329004
610,0.00183116892034632,0.271090905194805
611,0.00207792214891775,0.273999993766233
612,0.0024329004987013,0.277909083809523
613,0.00267532476753246,0.282787875151515
614,0.00311255419177489,0.288896102337662
615,0.00367532474112554,0.296406931168831
616,0.00434199139999999,0.305316021774891
617,0.0049567101112554,0.315774897922077
618,0.00593939408961038,0.327714293160173
619,0.00686580097705627,0.341086585584415
620,0.00822077922467531,0.355913423073593
621,0.00969264093549782,0.372194805151515
622,0.0115021646341991,0.390103894372294
623,0.0136017315480519,0.409792206320346
624,0.0160086581333333,0.431103892467532
625,0.0187619048666666,0.454194802554112
626,0.0222554111645021,0.478913415324675
627,0.0261515152164502,0.505086573463203
628,0.0309523809783549,0.532805189870129
629,0.0365367963852813,0.561987010173159
630,0.0432510823896103,0.592419915454545
631,0.0509740259956709,0.624090909307358
632,0.0601168826666666,0.656701302813852
633,0.0707792197402596,0.690177495238094
634,0.0833246740043289,0.724138529393938
635,0.0975844135757575,0.758164498181817
636,0.114190475800866,0.791926402683982
637,0.133021645839827,0.825164503116882
638,0.154398269917749,0.857047627662337
639,0.178285716809524,0.886965373290042
