"Wavelength","ATTO 488 EM","ATTO 488 AB"
419,,0.0227056279480519
420,,0.0240173162164502
421,,0.0255627705670995
422,,0.0273636362164502
423,,0.0291125538571428
424,,0.0310779216666666
425,,0.0329696967792207
426,,0.0348787876666666
427,,0.0370476193246753
428,,0.0393419914242424
429,,0.0416753241645021
430,,0.0441125534718614
431,,0.0466753241731601
432,,0.0494328997619047
433,,0.051987012090909
434,,0.054800865108225
435,,0.0575844155757575
436,,0.0607142862121211
437,,0.0638138536017315
438,,0.0670822525800865
439,,0.0705844176103895
440,,0.0743419932987012
441,,0.0779567121948051
442,,0.0818484872510821
443,,0.0858355000519479
444,,0.090268400125541
445,,0.0949437240692639
446,,0.100147186588744
447,,0.10585281365368
448,,0.111965368450216
449,,0.118792207277056
450,,0.126333331645021
451,,0.134476189047619
452,,0.143510819350649
453,,0.152995667878788
454,,0.163086575454545
455,,0.17363202978355
456,,0.18445887069264
457,,0.196034627792208
458,,0.207896101861472
459,,0.220160170865801
460,,0.232675323896104
461,,0.245294371948052
462,,0.257917746103896
463,,0.270398266883117
464,,0.282389611082251
465,,0.294099567575757
466,,0.30500433060606
467,,0.315129867099567
468,,0.324341991212121
469,,0.333056273160173
470,,0.34124242034632
471,,0.348999999870129
472,,0.356757575584415
473,,0.364852814069264
474,,0.373354979870129
475,0.00111515151757576,0.382826839783549
476,0.00091212120939394,0.393298703939393
477,0.000867099565930736,0.40499567012987
478,0.000980086587186147,0.418298699783549
479,0.00125108227316017,0.433372296883116
480,0.00173593077878788,0.450558439783549
481,0.00219047627619047,0.469865793679653
482,0.00287878798744588,0.491774885584415
483,0.00355411272207792,0.516437216883116
484,0.00450216464199134,0.54338960025974
485,0.00574025975930735,0.572688299047618
486,0.00735064948484847,0.604012977965367
487,0.00952813870346319,0.637268404545454
488,0.0123073593341991,0.671857150389609
489,0.0156580090948052,0.707337664155843
490,0.0198787884502164,0.743645025108224
491,0.0251774895116883,0.780255403333332
492,0.0318701297359307,0.816541116450215
493,0.0401125546839826,0.852077907359306
494,0.0506623382380952,0.885896088571427
495,0.0632943726969696,0.917207786536795
496,0.0787575759004328,0.944805189437228
497,0.0980129864718613,0.967683978138527
498,0.120268399,0.98501298168831
499,0.146411256744589,0.995999997619046
500,0.176632035515151,0.999714286277055
501,0.210588748930736,0.995679658268397
502,0.248935069264069,0.983428580129869
503,0.29145454991342,0.962679668398267
504,0.33903463025974,0.933532475021644
505,0.390800855757575,0.896575763463202
506,0.443883106493506,0.852623369913419
507,0.499835487316017,0.803073584155843
508,0.556874443722943,0.74913851134199
509,0.613852805714285,0.692268385887445
510,0.669666662857142,0.633822506536796
511,0.7235974004329,0.57516450103896
512,0.774181816839826,0.517333331385281
513,0.820688307056276,0.461285719956709
514,0.862025970259739,0.407987017229437
515,0.899025970606059,0.358303034069264
516,0.93023376164502,0.312601732683982
517,0.957233765757574,0.27110823082251
518,0.976445893506492,0.233969704199134
519,0.98997403181818,0.201121216709956
520,0.995822517359306,0.17228571808658
521,0.998398268528137,0.146926410800866
522,0.997095234718613,0.124770565311688
523,0.990090904805193,0.105701299463203
